ticker,name,primary_exchange,cik
A,Agilent Technologies Inc.,XNYS,0001090872
AA,Alcoa Corporation,XNYS,0001675149
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,XNAS,0002034334
AAL,American Airlines Group Inc.,XNAS,0000006201
AAME,Atlantic American Corp,XNAS,0000008177
AAMI,Acadian Asset Management Inc.,XNYS,0001748824
AAOI,"Applied Optoelectronics, Inc.",XNAS,0001158114
AAON,Aaon Inc,XNAS,0000824142
AAP,ADVANCE AUTO PARTS INC,XNYS,0001158449
AAPL,Apple Inc.,XNAS,0000320193
AARD,"Aardvark Therapeutics, Inc. Common Stock",XNAS,0001774857
AAT,"AMERICAN ASSETS TRUST, INC.",XNYS,0001500217
AAUC,Allied Gold Corporation,XNYS,0001993344
AB,"AllianceBernstein Holding, L.P.",XNYS,0000825313
ABAT,American Battery Technology Company Common Stock,XNAS,0001576873
ABBV,ABBVIE INC.,XNYS,0001551152
ABCB,Ameris Bancorp,XNYS,0000351569
ABCL,AbCellera Biologics Inc. Common Shares,XNAS,0001703057
ABEO,Abeona Therapeutics Inc. Common Stock,XNAS,0000318306
ABG,"Asbury Automotive Group, Inc.",XNYS,0001144980
ABLV,Able View Global Inc. Class B Ordinary Shares,XNAS,0001957489
ABM,"ABM Industries, Inc.",XNYS,0000771497
ABNB,"Airbnb, Inc. Class A Common Stock",XNAS,0001559720
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",XNAS,0001576885
ABSI,Absci Corporation Common Stock,XNAS,0001672688
ABT,Abbott Laboratories,XNYS,0000001800
ABTC,American Bitcoin Corp. Class A Common Stock,XNAS,0001755953
ABTS,Abits Group Inc Ordinary Shares,XNAS,0001864055
ABUS,Arbutus Biopharma Corporation Common Stock,XNAS,0001447028
ABVC,"ABVC BioPharma, Inc. Common Stock",XNAS,0001173313
ABVE,Above Food Ingredients Inc. Common Stock,XNAS,0001979484
ABX,"Abacus Global Management, Inc.",XNYS,0001814287
ACA,"Arcosa, Inc. Common Stock",XNYS,0001739445
ACAD,Acadia Pharmaceuticals Inc.,XNAS,0001070494
ACB,Aurora Cannabis Inc. Common Shares,XNAS,0001683541
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,XNAS,0002038378
ACCO,Acco Brands Corporation,XNYS,0000712034
ACCS,ACCESS Newswire Inc.,XASE,0000843006
ACDC,ProFrac Holding Corp. Class A Common Stock,XNAS,0001881487
ACEL,"Accel Entertainment, Inc.",XNYS,0001698991
ACET,"Adicet Bio, Inc. Common Stock",XNAS,0001720580
ACFN,"Acorn Energy, Inc. Common Stock",XNAS,0000880984
ACGL,Arch Capital Group Ltd,XNAS,0000947484
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",XNAS,0000947484
ACH,"Accendra Health, Inc.",XNYS,0000075252
ACHC,"Acadia Healthcare Company, Inc.",XNAS,0001520697
ACHV,"Achieve Life Sciences, Inc.",XNAS,0000949858
ACI,"Albertsons Companies, Inc.",XNYS,0001646972
ACIC,American Coastal Insurance Corporation Common Stock,XNAS,0001401521
ACLS,Axcelis Technologies Inc,XNAS,0001113232
ACLX,"Arcellx, Inc. Common Stock",XNAS,0001786205
ACM,Aecom,XNYS,0000868857
ACN,Accenture PLC,XNYS,0001467373
ACNB,ACNB Corp,XNAS,0000715579
ACNT,Ascent Industries Co. Common Stock,XNAS,0000095953
ACOG,Alpha Cognition Inc. Common Stock,XNAS,0001655923
ACON,"Aclarion, Inc. Common Stock",XNAS,0001635077
ACRE,Ares Commercial Real Estate Corporation,XNYS,0001529377
ACRS,"Aclaris Therapeutics, Inc.",XNAS,0001557746
ACRV,"Acrivon Therapeutics, Inc. Common Stock",XNAS,0001781174
ACT,"Enact Holdings, Inc. Common Stock",XNAS,0001823529
ACTG,Acacia Research Corporation,XNAS,0000934549
ACVA,ACV Auctions Inc.,XNYS,0001637873
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",XNAS,0001736243
AD,"Array Digital Infrastructure, Inc.",XNYS,0000821130
ADAC,American Drive Acquisition Company Class A Ordinary Shares,XNAS,0002083002
ADAM,"Adamas Trust, Inc. Common Stock",XNAS,0001273685
ADAMG,"Adamas Trust, Inc. 9.125% Senior Notes Due 2030",XNAS,0001273685
ADAMH,"Adamas Trust, Inc. 9.875% Senior Notes Due 2030",XNAS,0001273685
ADAMI,"Adamas Trust, Inc. 9.125% Senior Notes Due 2029",XNAS,0001273685
ADAML,"Adamas Trust, Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",XNAS,0001273685
ADAMO,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031",XNAS,0001273685
ADBE,Adobe Inc.,XNAS,0000796343
ADC,Agree Realty Corporation,XNYS,0000917251
ADCT,ADC Therapeutics SA,XNYS,0001771910
ADEA,Adeia Inc. Common Stock,XNAS,0001803696
ADGM,"Adagio Medical Holdings, Inc Common Stock",XNAS,0002006986
ADI,"Analog Devices, Inc.",XNAS,0000006281
ADIL,"Adial Pharmaceuticals, Inc",XNAS,0001513525
ADM,Archer Daniels Midland Company,XNYS,0000007084
ADMA,"ADMA Biologics, Inc.",XNAS,0001368514
ADNT,Adient plc Ordinary Shares,XNYS,0001670541
ADP,Automatic Data Processing,XNAS,0000008670
ADPT,Adaptive Biotechnologies Corporation Common Stock,XNAS,0001478320
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,XNAS,0001879248
ADSK,Autodesk Inc,XNAS,0000769397
ADT,ADT Inc.,XNYS,0001703056
ADTN,"ADTRAN Holdings, Inc. Common Stock",XNAS,0000926282
ADTX,"Aditxt, Inc. Common Stock",XNAS,0001726711
ADUS,Addus HomeCare Corp.,XNAS,0001468328
ADV,Advantage Solutions Inc. Class A Common Stock,XNAS,0001776661
ADVB,Advanced Biomed Inc. Common Stock,XNAS,0001941029
AEAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,XNAS,0002083689
AEBI,Aebi Schmidt Holding AG Common Stock,XNAS,0002048519
AEC,Anfield Energy Inc. Common Shares,XNAS,0001519469
AEE,Ameren Corporation,XNYS,0001002910
AEG,Aegon Ltd.,XNYS,0000769218
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,XNAS,0001470683
AEI,Alset Inc. Common Stock (TX),XNAS,0001750106
AEIS,Advanced Energy Industries Inc,XNAS,0000927003
AEM,Agnico Eagle Mines Ltd.,XNYS,0000002809
AEMD,AETHLON MEDICAL INC,XNAS,0000882291
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,XNAS,0001823584
AEO,American Eagle Outfitters,XNYS,0000919012
AEON,"AEON Biopharma, Inc.",XASE,0001837607
AEP,"American Electric Power Company, Inc.",XNAS,0000004904
AES,AES Corporation,XNYS,0000874761
AESI,Atlas Energy Solutions Inc.,XNYS,0001984060
AEVA,"Aeva Technologies, Inc.",XNAS,0001789029
AEXA,American Exceptionalism Acquisition Corp. A,XNYS,0002079173
AEYE,"AudioEye, Inc. Common Stock",XNAS,0001362190
AFBI,"Affinity Bancshares, Inc. Common Stock (MD)",XNAS,0001823406
AFCG,Advanced Flower Capital Inc. Common Stock,XNAS,0001822523
AFG,"American Financial Group, Inc.",XNYS,0001042046
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",XNAS,0001979005
AFL,Aflac Inc.,XNYS,0000004977
AFRI,Forafric Global PLC Ordinary Shares,XNAS,0001903870
AFRM,"Affirm Holdings, Inc. Class A Common Stock",XNAS,0001820953
AFYA,Afya Limited Class A Common Shares,XNAS,0001771007
AG,FIRST MAJESTIC SILVER CORP,XNYS,0001308648
AGAE,Allied Gaming & Entertainment Inc. Common Stock,XNAS,0001708341
AGBK,AGI Inc,XNYS,0002081206
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,XNAS,0002060016
AGCO,AGCO Corporation,XNYS,0000880266
AGEN,Agenus Inc.,XNAS,0001098972
AGH,Aureus Greenway Holdings Inc. Common Stock,XNAS,0002009312
AGI,Alamos Gold Inc. Class A Common Shares,XNYS,0001178819
AGIG,Abundia Global Impact Group Inc.,XASE,0001156041
AGIO,"Agios Pharmaceuticals, Inc.",XNAS,0001439222
AGL,"agilon health, inc.",XNYS,0001831097
AGM,Federal Agricultural Mortgage Corporation,XNYS,0000845877
AGM.A,Federal Agricultural Mortgage Corporation Class A Voting,XNYS,0000845877
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,XNAS,0001705402
AGNC,AGNC Investment Corp. Common Stock,XNAS,0001423689
AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",XNAS,0001423689
AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",XNAS,0001423689
AGO,"Assured Guaranty, LTD",XNYS,0001273813
AGRO,ADECOAGRO S.A.,XNYS,0001499505
AGX,"Argan, Inc",XNYS,0000100591
AGYS,"Agilysys, Inc. Common Stock (DE)",XNAS,0000078749
AHCO,AdaptHealth Corp. Common Stock,XNAS,0001725255
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,XNAS,0002010959
AHT,"Ashford Hospitality Trust, Inc.",XNYS,0001232582
AI,"C3.ai, Inc.",XNYS,0001577526
AIB,"BlockchAIn Digital Infrastructure, Inc",XASE,0002070542
AIDX,"20/20 Biolabs, Inc. Common Stock",XNAS,0001139685
AIFF,"Firefly Neuroscience, Inc. Common Stock",XNAS,0000803578
AIG,"American International Group, Inc.",XNYS,0000005272
AIHS,Senmiao Technology Limited Common Stock,XNAS,0001711012
AII,"American Integrity Insurance Group, Inc.",XNYS,0002007587
AIIA,AI Infrastructure Acquisition Corp.,XNYS,0002073553
AIIO,Robo.ai Inc. Class B Ordinary Shares,XNAS,0001932737
AIM,AIM ImmunoTech Inc.,XASE,0000946644
AIMD,"Ainos, Inc. Common Stock",XNAS,0001014763
AIN,Albany International Corp Class A,XNYS,0000819793
AIOS,AIOS Tech Inc. Class A Common Shares,XNAS,0001603993
AIOT,"PowerFleet, Inc. Common Stock",XNAS,0001774170
AIP,"Arteris, Inc. Common Stock",XNAS,0001667011
AIRE,reAlpha Tech Corp. Common Stock,XNAS,0001859199
AIRG,"Airgain, Inc. Common Stock",XNAS,0001272842
AIRI,Air Industries Group,XASE,0001009891
AIRJ,AirJoule Technologies Corporation Class A Common Stock,XNAS,0001855474
AIRO,"AIRO Group Holdings, Inc. Common Stock",XNAS,0001927958
AIRS,"AirSculpt Technologies, Inc. Common Stock",XNAS,0001870940
AISP,"Airship AI Holdings, Inc. Class A Common Stock",XNAS,0001842566
AIT,"Applied Industrial Technologies, Inc.",XNYS,0000109563
AIV,Apartment Investment and Management Company,XNYS,0000922864
AIXC,"AIxCrypto Holdings, Inc. Common Stock",XNAS,0001460702
