ticker,name,primary_exchange,latest_close,avg_volume
AA,Alcoa Corporation,XNYS,56.68,6755715
AAL,American Airlines Group Inc.,XNAS,10.71,65310292
ACI,"Albertsons Companies, Inc.",XNYS,16.86,6927008
ADT,ADT Inc.,XNYS,6.54,12117833
AEG,Aegon Ltd.,XNYS,6.96,7162381
AEO,American Eagle Outfitters,XNYS,16.32,9129479
AES,AES Corporation,XNYS,14.13,12622683
AFRM,"Affirm Holdings, Inc. Class A Common Stock",XNAS,44.79,6773746
AG,FIRST MAJESTIC SILVER CORP,XNYS,20.1,22295892
AGNC,AGNC Investment Corp. Common Stock,XNAS,9.94,23766134
AI,"C3.ai, Inc.",XNYS,8.29,6973555
AIG,"American International Group, Inc.",XNYS,74.34,4527977
AKTS,"Aktis Oncology, Inc. Common stock",XNAS,18.63,11224943
AMPX,"Amprius Technologies, Inc.",XNYS,17.76,7294518
APA,APA Corporation Common Stock,XNAS,40.8,7538109
APLD,Applied Digital Corporation Common Stock,XNAS,26.79,34910335
AQN,Algonquin Power & Utilities Corp,XNYS,6.29,7170300
ARCC,Ares Capital Corporation,XNAS,17.96,5358131
ARDX,"Ardelyx, Inc.",XNAS,5.35,4422439
ARRY,"Array Technologies, Inc. Common Stock",XNAS,7.24,6992605
AS,"Amer Sports, Inc.",XNYS,33.09,4586104
ASAN,"Asana, Inc. Class A Common Stock",XNYS,6.24,4051546
ASM,Avino Silver & Gold Mines Ltd. (Canada),XASE,5.97,5468364
ASTS,"AST SpaceMobile, Inc. Class A Common Stock",XNAS,86.98,12888958
B,Barrick Mining Corporation,XNYS,38.03,14724250
BAC,Bank of America Corporation,XNYS,48.14,40560384
BAX,Baxter International Inc.,XNYS,16.72,7253212
BBY,"Best Buy Company, Inc.",XNYS,61.71,4096375
BCRX,BioCryst Pharmaceuticals Inc,XNAS,9.66,4462637
BEN,"Franklin Resources, Inc.",XNYS,23.67,4680192
BF.B,Brown-Forman Corporation Class B,XNYS,22.8,4386142
BMY,Bristol-Myers Squibb Co.,XNYS,57.39,14494801
BN,Brookfield Corporation,XNYS,39.22,4296452
BSX,Boston Scientific Corp.,XNYS,68.15,10009709
BULL,Webull Corporation Class A Ordinary Shares,XNAS,5.13,15045224
CAG,"Conagra Brands, Inc.",XNYS,15.56,10696972
CAVA,"CAVA Group, Inc.",XNYS,84.43,4074855
CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,XNAS,6.12,11048178
CCL,Carnival Corporation,XNYS,25.47,22813529
CDE,"Coeur Mining, Inc.",XNYS,18.31,18909157
CELH,"Celsius Holdings, Inc. Common Stock",XNAS,37.045,6346809
CFG,"Citizens Financial Group, Inc.",XNYS,58.94,4927402
CHWY,"Chewy, Inc.",XNYS,23.45,7476943
CL,Colgate-Palmolive Company,XNYS,84.53,5963730
CLF,Cleveland-Cliffs Inc.,XNYS,8.31,24548848
CLSK,CLEANSPARK INC,XNAS,9.58,27751698
CMCSA,Comcast Corp,XNAS,29.22,28447932
CMG,"Chipotle Mexican Grill, Inc.",XNYS,32.76,18018439
CNC,Centene Corporation,XNYS,32.98,9644035
CNH,CNH INDUSTRIAL N.V.,XNYS,10.74,15168181
CNP,"CenterPoint Energy, Inc.",XNYS,41.88,5385369
CNQ,Canadian Natural Resources Limited,XNYS,49.02,7477254
COLD,"Americold Realty Trust, Inc.",XNYS,11.33,4834523
COMP,"Compass, Inc.",XNYS,8.1,12164682
CPB,The Campbell's Company Common Stock,XNAS,20.91,6028594
CPNG,"Coupang, Inc.",XNYS,18.52,14444666
CRBG,"Corebridge Financial, Inc.",XNYS,23.48,4190245
CRGY,Crescent Energy Company,XNYS,13.08,5246884
CRML,Critical Metals Corp. Ordinary Shares,XNAS,7.99,10422004
CRWV,"CoreWeave, Inc. Class A Common Stock",XNAS,83.02,25078398
CSCO,"Cisco Systems, Inc. Common Stock (DE)",XNAS,80.86,21738027
CSGP,CoStar Group Inc,XNAS,41.46,4171359
CSX,CSX Corporation,XNAS,38.87,15638495
CTRA,Coterra Energy Inc.,XNYS,35.02,8586001
CTSH,Cognizant Technology Solutions,XNAS,60.24,4738722
CTVA,"Corteva, Inc. Common Stock",XNYS,80.58,4116008
CVE,Cenovus Energy Inc.,XNYS,25.44,14040433
CVS,CVS HEALTH CORPORATION,XNYS,72.8,8393725
CWAN,"Clearwater Analytics Holdings, Inc.",XNYS,23.19,6509169
D,"Dominion Energy, Inc Common Stock",XNYS,60.27,5562187
DAL,"Delta Air Lines, Inc.",XNYS,66.65,9910243
DCH,Dauch Corporation,XNYS,5.75,8004226
DD,"DuPont de Nemours, Inc. Common Stock",XNYS,45.33,6665126
DIS,The Walt Disney Company,XNYS,96.39,10325085
DJT,Trump Media & Technology Group Corp. Common Stock,XNAS,8.775,7190938
DKNG,DraftKings Inc. Class A Common Stock,XNAS,23.31,12915412
DOC,"Healthpeak Properties, Inc.",XNYS,16.7,7676666
DT,"Dynatrace, Inc.",XNYS,36.55,4015066
DVN,Devon Energy Corporation,XNYS,50.27,9409669
DX,"Dynex Capital, Inc.",XNYS,12.46,4919374
DXCM,"DexCom, Inc.",XNAS,66.6,4896576
EBAY,eBay Inc,XNAS,89.1,5489967
EL,The Estee Lauder Companies Inc. Class A,XNYS,71.48,4049576
ELAN,Elanco Animal Health Incorporated Common Stock,XNYS,24.9,5922771
ENB,"Enbridge, Inc",XNYS,54.44,4139032
ENPH,"Enphase Energy, Inc.",XNAS,40.97,7489589
ENVX,Enovix Corporation Common Stock,XNAS,5.04,7079054
EOSE,"Eos Energy Enterprises, Inc. Class A Common Stock",XNAS,5.09,17904405
EPD,Enterprise Products Partners L.P.,XNYS,38.39,4357027
EQT,EQT CORP,XNYS,65.33,8608163
EQX,Equinox Gold Corp.,XASE,12.58,13047804
ET,Energy Transfer LP Common Units representing limited partner interests,XNYS,19.21,14590448
ETSY,"Etsy, Inc.",XNYS,49.46,4804258
EXC,Exelon Corporation,XNAS,47.29,7480823
EXK,Endeavour Silver Corp.,XNYS,8.97,13804082
