ticker,name,primary_exchange,latest_close,latest_close_date,average_daily_volume,average_daily_dollar_volume,price_bucket,adv_dollar_bucket,recent_gap_frequency_proxy,recent_range_expansion_proxy,overnight_planning_suitability_score,include_in_working_universe,exclusion_reason
ASTS,"AST SpaceMobile, Inc. Class A Common Stock",XNAS,86.98,2026-03-24,15233374,1433416423,price_80_200,adv_100m_plus,0.871,0.096438,0.9453,True,
AXTI,AXT Inc,XNAS,68.44,2026-03-24,8398368,272908720,price_40_80,adv_100m_plus,0.9032,0.141563,0.9422,True,
APLD,Applied Digital Corporation Common Stock,XNAS,26.79,2026-03-24,26890633,876905039,price_20_40,adv_100m_plus,0.871,0.08743,0.9284,True,
CRML,Critical Metals Corp. Ordinary Shares,XNAS,7.99,2026-03-24,15848098,218558844,price_5_10,adv_100m_plus,0.9032,0.123496,0.9255,True,
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,XNAS,33.22,2026-03-24,5481469,203803930,price_20_40,adv_100m_plus,0.9194,0.124724,0.9243,True,
IREN,IREN Limited Ordinary Shares,XNAS,41.12,2026-03-24,37531934,1737645697,price_40_80,adv_100m_plus,0.8226,0.088358,0.924,True,
AAOI,"Applied Optoelectronics, Inc.",XNAS,113.9,2026-03-24,7874907,575487016,price_80_200,adv_100m_plus,0.7903,0.113881,0.923,True,
BNAI,Brand Engagement Network Inc. Common Stock,XNAS,37.01,2026-03-24,9051943,133489693,price_20_40,adv_100m_plus,0.9516,0.215758,0.9228,True,
BATL,Battalion Oil Corporation,XASE,9.14,2026-03-24,13384458,142351830,price_5_10,adv_100m_plus,0.9032,0.194926,0.9215,True,
BE,Bloom Energy Corporation,XNYS,145.88,2026-03-24,11046964,1584432826,price_80_200,adv_100m_plus,0.7903,0.091347,0.9167,True,
OKLO,Oklo Inc.,XNYS,54.96,2026-03-24,10331827,803762298,price_40_80,adv_100m_plus,0.9032,0.076568,0.9147,True,
RKLB,Rocket Lab Corporation Common Stock,XNAS,66.07,2026-03-24,22601700,1741245333,price_40_80,adv_100m_plus,0.8226,0.078486,0.9088,True,
CRWV,"CoreWeave, Inc. Class A Common Stock",XNAS,83.02,2026-03-24,25202434,2206824821,price_80_200,adv_100m_plus,0.8387,0.073744,0.9068,True,
WDC,Western Digital Corp.,XNAS,301.05,2026-03-24,9497218,2444019683,price_200_500,adv_100m_plus,0.8548,0.070143,0.9054,True,
ONDS,Ondas Inc. Common Stock,XNAS,10.68,2026-03-24,95208777,1051019425,price_10_20,adv_100m_plus,0.7097,0.106621,0.9013,True,
IBRX,"ImmunityBio, Inc. Common Stock",XNAS,7.415,2026-03-24,37170501,261236950,price_5_10,adv_100m_plus,0.7903,0.114252,0.8998,True,
RCAT,"Red Cat Holdings, Inc. Common Stock",XNAS,16.08,2026-03-24,15819583,219290946,price_10_20,adv_100m_plus,0.8065,0.118304,0.8996,True,
HL,Hecla Mining Company,XNYS,17.93,2026-03-24,24404719,565898490,price_10_20,adv_100m_plus,0.9194,0.070015,0.8973,True,
UAMY,United States Antimony Corporation,XNYS,9.28,2026-03-24,14632920,126329491,price_5_10,adv_100m_plus,0.8871,0.122961,0.8966,True,
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,XNAS,100.3,2026-03-24,6827290,834908577,price_80_200,adv_100m_plus,0.8226,0.076532,0.8964,True,
QBTS,D-Wave Quantum Inc.,XNYS,15.93,2026-03-24,30890934,728090175,price_10_20,adv_100m_plus,0.8065,0.07905,0.8951,True,
AG,FIRST MAJESTIC SILVER CORP,XNYS,20.1,2026-03-24,25368692,578526009,price_20_40,adv_100m_plus,0.9032,0.068293,0.8925,True,
NBIS,Nebius Group N.V. Class A Ordinary Shares,XNAS,114.91,2026-03-24,14226262,1438352810,price_80_200,adv_100m_plus,0.8065,0.071867,0.8901,True,
CDE,"Coeur Mining, Inc.",XNYS,18.31,2026-03-24,27424235,588062449,price_10_20,adv_100m_plus,0.9355,0.065346,0.8885,True,
CLSK,CLEANSPARK INC,XNAS,9.58,2026-03-24,25165530,279571982,price_5_10,adv_100m_plus,0.871,0.078887,0.8866,True,
EOSE,"Eos Energy Enterprises, Inc. Class A Common Stock",XNAS,5.09,2026-03-24,22375141,242437728,price_5_10,adv_100m_plus,0.8226,0.091184,0.8856,True,
CRCL,"Circle Internet Group, Inc.",XNYS,101.17,2026-03-24,15114469,1348063506,price_80_200,adv_100m_plus,0.8065,0.069563,0.8846,True,
ALAB,"Astera Labs, Inc. Common Stock",XNAS,121.76,2026-03-24,4996691,735080152,price_80_200,adv_100m_plus,0.8065,0.071049,0.8806,True,
TE,T1 Energy Inc.,XNYS,6.61,2026-03-24,18657721,140186480,price_5_10,adv_100m_plus,0.8226,0.111533,0.879,True,
RGTI,"Rigetti Computing, Inc. Common Stock",XNAS,15.6,2026-03-24,30380146,608695619,price_10_20,adv_100m_plus,0.7903,0.075251,0.8787,True,
IONQ,"IonQ, Inc.",XNYS,32.7,2026-03-24,20867791,837125250,price_20_40,adv_100m_plus,0.7742,0.074228,0.8769,True,
WULF,TeraWulf Inc. Common Stock,XNAS,16.22,2026-03-24,29704771,440140267,price_10_20,adv_100m_plus,0.7742,0.083422,0.8767,True,
HIMS,"Hims & Hers Health, Inc.",XNYS,21.34,2026-03-24,32321044,739048644,price_20_40,adv_100m_plus,0.7742,0.074642,0.8763,True,
PL,Planet Labs PBC,XNYS,31.83,2026-03-24,13073766,336644247,price_20_40,adv_100m_plus,0.7903,0.083979,0.8761,True,
