year_month,universe_avg_otc,regime
2024-03,0.1959,non_bearish
2024-04,-0.2297,bearish
2024-05,-0.0649,non_bearish
2024-06,-0.0745,non_bearish
2024-07,0.0348,non_bearish
2024-08,-0.0233,non_bearish
2024-09,-0.1587,bearish
2024-10,0.005,non_bearish
2024-11,0.2571,non_bearish
2024-12,-0.2973,bearish
2025-01,-0.1022,bearish
2025-02,-0.2101,bearish
2025-03,-0.1036,bearish
2025-04,0.4528,non_bearish
2025-05,0.2405,non_bearish
2025-06,0.0812,non_bearish
2025-07,-0.0175,non_bearish
2025-08,0.2458,non_bearish
2025-09,0.1298,non_bearish
2025-10,-0.2437,bearish
2025-11,-0.0126,non_bearish
2025-12,-0.0392,non_bearish
