gap_direction,market_regime,n_events,n_with_next_day,mean_gap_pct,mean_nd_open_to_high_pct,mean_nd_open_to_low_pct,mean_nd_open_to_close_pct,mean_nd_range_pct,continuation_rate
all_directions,all_regimes,808679,808678,91.816,2.15,-2.082,0.026,4.226,48.8
up,all_regimes,426182,426182,175.618,2.125,-2.05,0.022,4.17,48.6
down,all_regimes,382497,382496,-1.556,2.177,-2.118,0.03,4.289,48.9
all_directions,bullish,434652,434651,112.265,2.002,-1.993,-0.054,3.992,47.7
all_directions,neutral,153643,153643,166.065,2.101,-2.061,0.02,4.162,50.7
all_directions,bearish,220384,220384,-0.276,2.474,-2.273,0.186,4.732,49.6
up,bullish,247280,247280,198.396,1.981,-2.026,-0.106,4.012,46.5
up,neutral,82213,82213,311.699,2.091,-2.006,0.068,4.096,51.1
up,bearish,96689,96689,1.658,2.522,-2.148,0.309,4.638,51.9
down,bullish,187372,187371,-1.404,2.031,-1.949,0.014,3.967,49.1
down,neutral,71430,71430,-1.555,2.113,-2.123,-0.034,4.237,50.2
down,bearish,123695,123695,-1.787,2.436,-2.371,0.09,4.805,47.8
