child_name,slice,n_events,n_with_next_day,continuation_rate_pct,mean_nd_open_to_high_pct,mean_nd_open_to_low_pct,mean_nd_open_to_close_pct,mean_nd_range_pct,pct_gap_up
child1_liquid_trend_names,all=all,364529,364529,48.6,2.004,-1.988,0.001,3.992,51.7
child1_liquid_trend_names,gap_direction=up,188391,188391,48.6,1.912,-1.898,-0.017,3.81,100.0
child1_liquid_trend_names,gap_direction=down,176138,176138,48.6,2.102,-2.085,0.021,4.188,0.0
child1_liquid_trend_names,market_regime=bullish,197949,197949,47.6,1.868,-1.869,-0.048,3.738,65.3
child1_liquid_trend_names,market_regime=neutral,68023,68023,51.5,1.97,-1.942,0.023,3.915,52.3
child1_liquid_trend_names,market_regime=bearish,98557,98557,48.5,2.3,-2.259,0.084,4.557,23.9
child1_liquid_trend_names,gap_up_x_regime=bullish,129278,129278,47.2,1.855,-1.88,-0.074,3.737,100.0
child1_liquid_trend_names,gap_up_x_regime=neutral,35559,35559,52.1,1.969,-1.843,0.117,3.808,100.0
child1_liquid_trend_names,gap_up_x_regime=bearish,23554,23554,50.4,2.14,-2.075,0.091,4.21,100.0
child1_liquid_trend_names,gap_down_x_regime=bullish,68671,68671,48.3,1.893,-1.848,0.002,3.739,0.0
child1_liquid_trend_names,gap_down_x_regime=neutral,32464,32464,50.8,1.971,-2.051,-0.08,4.031,0.0
child1_liquid_trend_names,gap_down_x_regime=bearish,75003,75003,47.9,2.35,-2.316,0.081,4.666,0.0
child2_high_rvol_names,all=all,120046,120046,48.6,2.723,-2.681,-0.008,5.397,52.0
child2_high_rvol_names,gap_direction=up,62426,62426,47.7,2.795,-2.721,0.011,5.514,100.0
child2_high_rvol_names,gap_direction=down,57620,57620,49.7,2.645,-2.637,-0.028,5.269,0.0
child2_high_rvol_names,market_regime=bullish,62560,62560,47.9,2.621,-2.62,-0.101,5.233,59.8
child2_high_rvol_names,market_regime=neutral,21314,21314,49.9,2.578,-2.604,0.003,5.192,53.5
child2_high_rvol_names,market_regime=bearish,36172,36172,49.3,2.985,-2.832,0.146,5.801,37.7
child2_high_rvol_names,gap_up_x_regime=bullish,37392,37392,45.9,2.691,-2.733,-0.138,5.439,100.0
child2_high_rvol_names,gap_up_x_regime=neutral,11413,11413,49.9,2.581,-2.613,0.028,5.201,100.0
child2_high_rvol_names,gap_up_x_regime=bearish,13621,13621,50.9,3.261,-2.781,0.403,5.982,100.0
child2_high_rvol_names,gap_down_x_regime=bullish,25168,25168,50.8,2.517,-2.453,-0.046,4.926,0.0
child2_high_rvol_names,gap_down_x_regime=neutral,9901,9901,49.8,2.575,-2.594,-0.026,5.182,0.0
child2_high_rvol_names,gap_down_x_regime=bearish,22551,22551,48.3,2.818,-2.862,-0.009,5.691,0.0
