cl_threshold,gap_direction,n_events,n_valid,continuation_rate_pct,mean_nd_open_to_close_pct,mean_nd_range_pct
0.2,up,98876,98876,50.66,0.194,4.351
0.2,down,88635,88635,49.32,-0.002,4.134
0.25,up,120692,120692,50.33,0.188,4.339
0.25,down,108421,108421,49.26,0.001,4.132
0.3,up,141749,141749,50.0,0.163,4.323
0.3,down,127035,127035,49.16,0.008,4.133
0.35,up,161681,161681,49.72,0.131,4.299
0.35,down,145256,145256,49.07,0.015,4.148
0.4,up,180512,180512,49.56,0.11,4.277
0.4,down,163431,163431,49.02,0.016,4.157
0.45,up,199607,199607,49.33,0.092,4.265
0.45,down,180483,180483,49.0,0.017,4.164
