year,gap_direction,n_events,continuation_rate_pct,mean_nd_open_to_close_pct,mean_nd_range_pct
2021,up,14888,51.53,0.116,3.758
2021,down,10142,51.78,-0.124,3.869
2021,all,25030,51.63,0.019,3.803
2022,up,22092,48.5,-0.068,4.71
2022,down,25337,52.65,-0.138,4.322
2022,all,47429,50.72,-0.105,4.503
2023,up,20648,52.86,0.149,3.902
2023,down,19960,49.1,0.082,3.674
2023,all,40608,51.01,0.116,3.79
2024,up,45234,47.13,-0.087,3.929
2024,down,31502,48.31,0.104,3.845
2024,all,76736,47.62,-0.009,3.894
2025,up,48387,51.17,0.457,4.716
2025,down,44777,47.83,-0.021,4.381
2025,all,93164,49.56,0.227,4.555
2026,up,10432,48.0,-0.033,4.653
2026,down,13538,46.2,0.22,4.662
2026,all,23970,46.98,0.11,4.658
