child_name,year,n_events,continuation_rate_pct,mean_nd_open_to_close_pct,mean_nd_range_pct
gap_directional_trap__gap_up_cl_low_020,2021,9552,53.18,0.197,3.77
gap_directional_trap__gap_up_cl_low_020,2022,13753,48.99,-0.017,4.792
gap_directional_trap__gap_up_cl_low_020,2023,12188,52.81,0.15,3.951
gap_directional_trap__gap_up_cl_low_020,2024,27840,47.81,-0.067,3.932
gap_directional_trap__gap_up_cl_low_020,2025,29405,52.76,0.594,4.837
gap_directional_trap__gap_up_cl_low_020,2026,6138,49.1,0.019,4.623
gap_directional_trap__gap_up_cl_low_035,2021,14888,51.53,0.116,3.758
gap_directional_trap__gap_up_cl_low_035,2022,22092,48.5,-0.068,4.71
gap_directional_trap__gap_up_cl_low_035,2023,20648,52.86,0.149,3.902
gap_directional_trap__gap_up_cl_low_035,2024,45234,47.13,-0.087,3.929
gap_directional_trap__gap_up_cl_low_035,2025,48387,51.17,0.457,4.716
gap_directional_trap__gap_up_cl_low_035,2026,10432,48.0,-0.033,4.653
gap_directional_trap__gap_down_cl_high_reference,2021,10142,51.78,-0.124,3.869
gap_directional_trap__gap_down_cl_high_reference,2022,25337,52.65,-0.138,4.322
gap_directional_trap__gap_down_cl_high_reference,2023,19960,49.1,0.082,3.674
gap_directional_trap__gap_down_cl_high_reference,2024,31502,48.31,0.104,3.845
gap_directional_trap__gap_down_cl_high_reference,2025,44777,47.83,-0.021,4.381
gap_directional_trap__gap_down_cl_high_reference,2026,13538,46.2,0.22,4.662
