row_label,n_events,expectancy_r,n_traded,trigger_rate,win_rate,note
full_slice_daily_bar_moc,9865.0,0.3956,,,,"daily-bar simulation, full 9865-event slice"
intraday_subset_daily_bar_moc,,0.3788,,,,"daily-bar simulation, intraday-covered subset"
intraday_subset_intraday_moc,,0.4279,,,,"intraday sim, a=09:30, c=EOD, e=MOC (methodology baseline)"
activation_study__a=09:30_c=EOD_e=MOC,5760.0,0.4279,5035.0,0.8741,0.0733,activation impact study row
activation_study__a=10:00_c=EOD_e=MOC,5760.0,0.5267,4637.0,0.805,0.0761,activation impact study row
activation_study__a=10:15_c=EOD_e=MOC,5760.0,0.5492,4546.0,0.7892,0.077,activation impact study row
activation_study__a=10:30_c=EOD_e=MOC,5760.0,0.5762,4442.0,0.7712,0.0781,activation impact study row
activation_study__a=10:45_c=EOD_e=MOC,5760.0,0.5944,4373.0,0.7592,0.0787,activation impact study row
activation_study__a=11:00_c=EOD_e=MOC,5760.0,0.6057,4327.0,0.7512,0.0788,activation impact study row
activation_study__a=11:15_c=EOD_e=MOC,5760.0,0.6192,4273.0,0.7418,0.0789,activation impact study row
activation_study__a=11:30_c=EOD_e=MOC,5760.0,0.627,4240.0,0.7361,0.0785,activation impact study row
activation_study__a=11:45_c=EOD_e=MOC,5760.0,0.642,4183.0,0.7262,0.0791,activation impact study row
activation_study__a=12:00_c=EOD_e=MOC,5760.0,0.6511,4141.0,0.7189,0.079,activation impact study row
activation_study__a=12:15_c=EOD_e=MOC,5760.0,0.6665,4082.0,0.7087,0.0799,activation impact study row
activation_study__a=12:30_c=EOD_e=MOC,5760.0,0.6752,4044.0,0.7021,0.0796,activation impact study row
activation_study__a=12:45_c=EOD_e=MOC,5760.0,0.6821,4016.0,0.6972,0.0799,activation impact study row
activation_study__a=13:00_c=EOD_e=MOC,5760.0,0.6901,3980.0,0.691,0.0804,activation impact study row
activation_study__a=13:15_c=EOD_e=MOC,5760.0,0.699,3948.0,0.6854,0.0808,activation impact study row
activation_study__a=13:30_c=EOD_e=MOC,5760.0,0.705,3920.0,0.6806,0.0811,activation impact study row
activation_study__a=13:45_c=EOD_e=MOC,5760.0,0.7132,3887.0,0.6748,0.0813,activation impact study row
activation_study__a=14:00_c=EOD_e=MOC,5760.0,0.7197,3859.0,0.67,0.0814,activation impact study row
exit_study__a=10:00_c=14:00_e=10:30,5760.0,0.267,4568.0,0.7931,0.0197,exit timing study row
exit_study__a=10:00_c=14:00_e=10:45,5760.0,0.2536,4568.0,0.7931,0.0228,exit timing study row
exit_study__a=10:00_c=14:00_e=11:00,5760.0,0.2666,4568.0,0.7931,0.0245,exit timing study row
exit_study__a=10:00_c=14:00_e=11:15,5760.0,0.3055,4568.0,0.7931,0.0271,exit timing study row
exit_study__a=10:00_c=14:00_e=11:30,5760.0,0.3195,4568.0,0.7931,0.0298,exit timing study row
exit_study__a=10:00_c=14:00_e=11:45,5760.0,0.3059,4568.0,0.7931,0.0315,exit timing study row
exit_study__a=10:00_c=14:00_e=12:00,5760.0,0.3247,4568.0,0.7931,0.0328,exit timing study row
exit_study__a=10:00_c=14:00_e=12:15,5760.0,0.3475,4568.0,0.7931,0.0344,exit timing study row
exit_study__a=10:00_c=14:00_e=12:30,5760.0,0.3449,4568.0,0.7931,0.0368,exit timing study row
exit_study__a=10:00_c=14:00_e=12:45,5760.0,0.3482,4568.0,0.7931,0.037,exit timing study row
exit_study__a=10:00_c=14:00_e=13:00,5760.0,0.3396,4568.0,0.7931,0.0377,exit timing study row
exit_study__a=10:00_c=14:00_e=13:15,5760.0,0.3471,4568.0,0.7931,0.0385,exit timing study row
exit_study__a=10:00_c=14:00_e=13:30,5760.0,0.4294,4568.0,0.7931,0.0423,exit timing study row
exit_study__a=10:00_c=14:00_e=13:45,5760.0,0.4573,4568.0,0.7931,0.0453,exit timing study row
exit_study__a=10:00_c=14:00_e=14:00,5760.0,0.5195,4568.0,0.7931,0.0497,exit timing study row
exit_study__a=10:00_c=14:00_e=14:15,5760.0,0.5122,4568.0,0.7931,0.0558,exit timing study row
exit_study__a=10:00_c=14:00_e=14:30,5760.0,0.5388,4568.0,0.7931,0.0641,exit timing study row
exit_study__a=10:00_c=14:00_e=14:45,5760.0,0.5183,4568.0,0.7931,0.0663,exit timing study row
exit_study__a=10:00_c=14:00_e=15:00,5760.0,0.509,4568.0,0.7931,0.067,exit timing study row
exit_study__a=10:00_c=14:00_e=15:15,5760.0,0.5295,4568.0,0.7931,0.0687,exit timing study row
exit_study__a=10:00_c=14:00_e=15:30,5760.0,0.5326,4568.0,0.7931,0.0709,exit timing study row
exit_study__a=10:00_c=14:00_e=15:45,5760.0,0.5403,4568.0,0.7931,0.0742,exit timing study row
exit_study__a=10:00_c=14:00_e=15:55,5760.0,0.5278,4568.0,0.7931,0.0768,exit timing study row
exit_study__a=10:00_c=14:00_e=MOC,5760.0,0.5355,4568.0,0.7931,0.0773,exit timing study row
