template_id,year,n_events,n_triggered,trigger_rate_pct,n_valid_triggered,win_rate_pct,mean_pnl_r,expectancy_r,n_win,n_loss_total,n_time_exit
E_close_band__S_prior_low__T_1_5r,2021,538,522,97.03,522,41.0,0.126,0.126,214,266,42
E_close_band__S_prior_low__T_1_5r,2022,1689,1395,82.59,1395,8.89,-0.613,-0.613,124,1074,197
E_close_band__S_prior_low__T_1_5r,2023,414,337,81.4,337,14.24,-0.369,-0.369,48,210,79
E_close_band__S_prior_low__T_1_5r,2024,1113,1033,92.81,1033,20.14,-0.114,-0.114,208,532,293
E_close_band__S_prior_low__T_1_5r,2025,1843,1668,90.5,1668,20.8,-0.389,-0.389,347,1200,121
E_close_band__S_prior_low__T_1_5r,2026,723,618,85.48,618,11.65,-0.579,-0.579,72,468,78
E_close_band__S_prior_low__T_2_0r,2021,538,522,97.03,522,37.55,0.298,0.298,196,266,60
E_close_band__S_prior_low__T_2_0r,2022,1689,1395,82.59,1395,6.59,-0.599,-0.599,92,1074,229
E_close_band__S_prior_low__T_2_0r,2023,414,337,81.4,337,10.98,-0.326,-0.326,37,210,90
E_close_band__S_prior_low__T_2_0r,2024,1113,1033,92.81,1033,14.13,-0.074,-0.074,146,532,355
E_close_band__S_prior_low__T_2_0r,2025,1843,1668,90.5,1668,17.51,-0.312,-0.312,292,1200,176
E_close_band__S_prior_low__T_2_0r,2026,723,618,85.48,618,8.25,-0.564,-0.564,51,468,99
E_close_band__S_prior_low__T_3_0r,2021,538,522,97.03,522,28.74,0.557,0.557,150,266,106
E_close_band__S_prior_low__T_3_0r,2022,1689,1395,82.59,1395,4.09,-0.575,-0.575,57,1074,264
E_close_band__S_prior_low__T_3_0r,2023,414,337,81.4,337,7.72,-0.264,-0.264,26,210,101
E_close_band__S_prior_low__T_3_0r,2024,1113,1033,92.81,1033,7.55,-0.025,-0.025,78,532,423
E_close_band__S_prior_low__T_3_0r,2025,1843,1668,90.5,1668,13.13,-0.198,-0.198,219,1200,249
E_close_band__S_prior_low__T_3_0r,2026,723,618,85.48,618,6.15,-0.511,-0.511,38,468,112
E_close_band__S_prior_low_buffer__T_2_0r,2021,538,522,97.03,522,38.31,0.531,0.531,200,193,129
E_close_band__S_prior_low_buffer__T_2_0r,2022,1689,1395,82.59,1395,7.67,-0.497,-0.497,107,966,322
E_close_band__S_prior_low_buffer__T_2_0r,2023,414,337,81.4,337,10.39,-0.235,-0.235,35,183,119
E_close_band__S_prior_low_buffer__T_2_0r,2024,1113,1033,92.81,1033,11.91,0.065,0.065,123,399,511
E_close_band__S_prior_low_buffer__T_2_0r,2025,1843,1668,90.5,1668,21.58,-0.029,-0.029,360,959,349
E_close_band__S_prior_low_buffer__T_2_0r,2026,723,618,85.48,618,9.55,-0.4,-0.4,59,389,170
