date,spy_close,spy_open,spy_high,spy_low,spy_volume,spy_sma20,spy_sma50,spy_sma200,spy_above_sma20,spy_above_sma50,spy_above_sma200,spy_sma20_slope_up,spy_return_1d,spy_return_5d,spy_return_20d,spy_return_60d,spy_gap_pct,spy_range_pct,spy_range_pct_sma10,spy_range_expansion,spy_realized_vol_20d,qqq_close,qqq_above_sma20,qqq_above_sma50,qqq_return_1d,qqq_return_5d,qqq_realized_vol_20d,spy_qqq_divergence_1d,market_regime_label
2021-03-26,395.98,390.93,396.41,390.29,114564012,,,,0,0,0,,,,,,,0.015455,,,,316.0,0,0,,,,,warmup_na
2021-03-29,395.78,394.4,396.75,392.81,108206334,,,,0,0,0,,-0.000505,,,,-0.00399,0.009955,,,,315.91,0,0,-0.000285,,,-0.00022,warmup_na
2021-03-30,394.73,394.42,395.45,393.02,76525361,,,,0,0,0,,-0.002653,,,,-0.003436,0.006156,,,,314.32,0,0,-0.005033,,,0.00238,warmup_na
2021-03-31,396.33,395.34,398.0,395.31,112809529,,,,0,0,0,,0.004053,,,,0.001545,0.006787,,,,319.13,0,0,0.015303,,,-0.01125,warmup_na
2021-04-01,400.61,398.4,400.67,398.18,99895578,,,,0,0,0,,0.010799,,,,0.005223,0.006216,,,,324.57,0,0,0.017046,,,-0.006247,warmup_na
2021-04-05,406.36,403.46,406.94,403.38,91825660,,,,0,0,0,,0.014353,0.026213,,,0.007114,0.008761,,,,331.05,0,0,0.019965,0.047627,,-0.005612,warmup_na
2021-04-06,406.12,405.76,407.24,405.4,62239948,,,,0,0,0,,-0.000591,0.026126,,,-0.001477,0.004531,,,,330.82,0,0,-0.000695,0.047197,,0.000104,warmup_na
2021-04-07,406.59,405.94,406.96,405.45,55675548,,,,0,0,0,,0.001157,0.030046,,,-0.000443,0.003714,,,,331.62,0,0,0.002418,0.055039,,-0.001261,warmup_na
2021-04-08,408.52,407.93,408.58,406.93,57794487,,,,0,0,0,,0.004747,0.030757,,,0.003296,0.004039,,,,335.08,0,0,0.010434,0.04998,,-0.005687,warmup_na
2021-04-09,411.49,408.39,411.67,408.26,61267803,,,,0,0,0,,0.00727,0.027159,,,-0.000318,0.008287,0.00739,1.1214,,337.11,0,0,0.006058,0.038636,,0.001212,warmup_na
2021-04-12,411.64,410.85,411.93,410.2,56907047,,,,0,0,0,,0.000365,0.012993,,,-0.001555,0.004203,0.006265,0.6709,,336.67,0,0,-0.001305,0.016976,,0.00167,warmup_na
2021-04-13,412.86,411.53,413.529,411.12,56770624,,,,0,0,0,,0.002964,0.016596,,,-0.000267,0.005835,0.005853,0.9969,,340.6,0,0,0.011673,0.029563,,-0.008709,warmup_na
2021-04-14,411.45,412.83,413.96,410.87,61758661,,,,0,0,0,,-0.003415,0.011953,,,-7.3e-05,0.00751,0.005988,1.2542,,336.51,0,0,-0.012008,0.014746,,0.008593,warmup_na
