period,market_regime_label,trading_days,pct_of_total
2021,bearish,24,13.6
2021,bullish,101,57.4
2021,neutral,51,29.0
2022,bearish,125,49.8
2022,bullish,69,27.5
2022,neutral,57,22.7
2023,bearish,50,20.0
2023,bullish,141,56.4
2023,neutral,59,23.6
2024,bearish,29,11.5
2024,bullish,194,77.0
2024,neutral,29,11.5
2025,bearish,52,20.8
2025,bullish,162,64.8
2025,neutral,36,14.4
2026,bearish,28,47.5
2026,bullish,20,33.9
2026,neutral,11,18.6
all_years,bearish,308,24.9
all_years,bullish,687,55.5
all_years,neutral,243,19.6
