ticker,recent_close,adv20_dollar,adv20_sessions_available,last_parquet_date,built_date
AA,58.41,413152271.0,20,2026-03-27,2026-03-28
AAMI,52.22,14320458.0,20,2026-03-27,2026-03-28
AAOI,98.21,1377349969.0,20,2026-03-27,2026-03-28
AAON,81.48,79581849.0,20,2026-03-27,2026-03-28
AAP,51.57,79940067.0,20,2026-03-27,2026-03-28
AAT,18.18,7609065.0,20,2026-03-27,2026-03-28
AAUC,31.04,19718947.0,20,2026-03-27,2026-03-28
AB,35.66,14965626.0,20,2026-03-27,2026-03-28
ABCB,75.89,47545992.0,20,2026-03-27,2026-03-28
ABM,37.49,29674701.0,20,2026-03-27,2026-03-28
ABT,103.99,1340137842.0,20,2026-03-27,2026-03-28
ACA,102.85,42518280.0,20,2026-03-27,2026-03-28
ACAD,20.75,42916216.0,20,2026-03-27,2026-03-28
ACGL,93.42,169521364.0,20,2026-03-27,2026-03-28
ACHC,22.91,76697946.0,20,2026-03-27,2026-03-28
ACI,17.07,107181235.0,20,2026-03-27,2026-03-28
ACLS,97.35,68116926.0,20,2026-03-27,2026-03-28
ACM,85.46,100622721.0,20,2026-03-27,2026-03-28
ACNB,47.25,2729086.0,20,2026-03-27,2026-03-28
ACT,40.17,14466445.0,20,2026-03-27,2026-03-28
AD,45.73,9149806.0,20,2026-03-27,2026-03-28
ADC,74.41,107110851.0,20,2026-03-27,2026-03-28
ADEA,24.19,29537956.0,20,2026-03-27,2026-03-28
ADM,72.23,320282348.0,20,2026-03-27,2026-03-28
ADNT,20.25,19766806.0,20,2026-03-27,2026-03-28
ADUS,95.19,23106636.0,20,2026-03-27,2026-03-28
AEE,108.72,188846800.0,20,2026-03-27,2026-03-28
AFL,106.41,283971755.0,20,2026-03-27,2026-03-28
AFRM,42.53,271573463.0,20,2026-03-27,2026-03-28
AG,20.68,506745739.0,20,2026-03-27,2026-03-28
AGI,42.54,195830085.0,20,2026-03-27,2026-03-28
AGIO,29.43,22531741.0,20,2026-03-27,2026-03-28
AGO,79.29,27080016.0,20,2026-03-27,2026-03-28
AGYS,70.37,22643671.0,20,2026-03-27,2026-03-28
AIG,72.95,340617641.0,20,2026-03-27,2026-03-28
AII,18.64,3403829.0,20,2026-03-27,2026-03-28
AIN,50.83,17396172.0,20,2026-03-27,2026-03-28
AL,64.8,190801826.0,20,2026-03-27,2026-03-28
ALC,73.34,117089229.0,20,2026-03-27,2026-03-28
ALGM,30.12,57370960.0,20,2026-03-27,2026-03-28
ALGT,79.4,42508789.0,20,2026-03-27,2026-03-28
ALH,19.53,20308386.0,20,2026-03-27,2026-03-28
ALK,36.16,210739410.0,20,2026-03-27,2026-03-28
ALKS,29.39,66967669.0,20,2026-03-27,2026-03-28
