journal_id,batch_id,run_id,strategy_block,variant_short,signal_date,trade_date,ticker,entry_price,stop_price,target_price,risk_dollar,risk_pct,activate_at_et,cancel_by_et,flatten_by_et,market_regime_label,gap_size_band,gap_pct,breakdown_depth_pct,reclaim_pct,close_location,selection_score,selection_rank_overall,selection_rank_within_bucket,price_bucket_operator,adv_dollar,adv_bucket,relative_volume,warning_flags,resolved_status,resolved_date,exit_reason,actual_exit_price,realized_r,resolver_note,written_at,updated_at
gdt_v2__2026_04_01__BSX,gdt_v2__2026_04_01,20260401T225514Z,gap_directional_trap__bearish_medium_large__candidate_1_v2,gdt_v2,2026-04-01,2026-04-02,BSX,62.124,60.4177,65.5365,1.7063,0.0275,13:15,13:30,14:30,bearish,medium,0.015458,,,0.0198,0.8401,1,1,50_to_70,1023395570.819036,,1.1802641225640165,,time_exit,2026-04-02,time_exit,62.94,0.4782,time_exit: exit_price=open of 2026-04-02 14:30 ET bar (flatten_by=14:30 ET),2026-04-01T22:55:14Z,2026-04-09T23:27:20Z
gdt_v2__2026_04_01__ESI,gdt_v2__2026_04_01,20260401T225514Z,gap_directional_trap__bearish_medium_large__candidate_1_v2,gdt_v2,2026-04-01,2026-04-02,ESI,34.6892,33.9242,36.2192,0.765,0.0221,13:15,13:30,14:30,bearish,medium,0.016403,,,0.0392,0.8259,2,1,30_to_50,96659545.17026138,,1.2339798747732786,,not_triggered,2026-04-02,not_triggered,,0.0,high never reached entry=34.6892 in 13:15-13:30 ET window,2026-04-01T22:55:14Z,2026-04-09T23:27:20Z
gdt_v2__2026_04_01__SARO,gdt_v2__2026_04_01,20260401T225514Z,gap_directional_trap__bearish_medium_large__candidate_1_v2,gdt_v2,2026-04-01,2026-04-02,SARO,26.3025,25.92,27.0675,0.3825,0.0145,13:15,13:30,14:30,bearish,medium,0.029036,,,0.0392,0.8243,3,1,20_to_30,116461273.0227106,,0.9244178902389802,,not_triggered,2026-04-02,not_triggered,,0.0,high never reached entry=26.3025 in 13:15-13:30 ET window,2026-04-01T22:55:14Z,2026-04-09T23:27:21Z
fbr_t002__2026_04_01__CSGP,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,CSGP,40.34,38.69,,1.65,0.040902,13:15,13:30,14:30,bearish,,,0.022116,0.001643,,,,,price_30_50,266115138.0,adv_100m_plus,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,time_exit,2026-04-02,time_exit,39.87,-0.2848,time_exit: exit_price=open of 2026-04-02 14:30 ET bar (flatten_by=14:30 ET),2026-04-01T22:56:54Z,2026-04-09T23:27:21Z
fbr_t002__2026_04_01__NE,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,NE,48.85,47.63,,1.22,0.024974,13:15,13:30,14:30,bearish,,,0.016722,0.001239,,,,,price_30_50,81486148.0,adv_50m_100m,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,time_exit,2026-04-02,time_exit,49.69,0.6885,time_exit: exit_price=open of 2026-04-02 14:30 ET bar (flatten_by=14:30 ET),2026-04-01T22:56:54Z,2026-04-09T23:27:22Z
fbr_t002__2026_04_01__GLNG,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,GLNG,53.87,52.69,,1.18,0.021905,13:15,13:30,14:30,bearish,,,0.016671,0.001245,,,,,price_50_70,170959166.0,adv_100m_plus,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,time_exit,2026-04-02,time_exit,55.455,1.3432,time_exit: exit_price=open of 2026-04-02 14:30 ET bar (flatten_by=14:30 ET),2026-04-01T22:56:54Z,2026-04-09T23:27:22Z
fbr_t002__2026_04_01__ACI,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,ACI,17.23,16.725,,0.505,0.029309,13:15,13:30,14:30,bearish,,,0.016466,0.000294,,,,,price_10_30,108820778.0,adv_100m_plus,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,time_exit,2026-04-02,time_exit,17.405,0.3465,time_exit: exit_price=open of 2026-04-02 14:30 ET bar (flatten_by=14:30 ET),2026-04-01T22:56:54Z,2026-04-09T23:27:22Z
fbr_t002__2026_04_01__ET,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,ET,19.17,18.72,,0.45,0.023474,13:15,13:30,14:30,bearish,,,0.015255,0.000526,,,,,price_10_30,284461389.0,adv_100m_plus,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,not_triggered,2026-04-02,not_triggered,,0.0,high never reached entry=19.1700 in 13:15-13:30 ET window,2026-04-01T22:56:54Z,2026-04-09T23:27:23Z
fbr_t002__2026_04_01__CVE,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,CVE,26.54,25.425,,1.115,0.042012,13:15,13:30,14:30,bearish,,,0.014726,0.000581,,,,,price_10_30,431534850.0,adv_100m_plus,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,not_triggered,2026-04-02,not_triggered,,0.0,high never reached entry=26.5400 in 13:15-13:30 ET window,2026-04-01T22:56:54Z,2026-04-09T23:27:23Z
fbr_t002__2026_04_01__AXS,fbr_t002__2026_04_01,20260401T225654Z,failed_breakdown_reclaim__weak_reclaim_depth__time_exit_primary__template_002,fbr_t002,2026-04-01,2026-04-02,AXS,100.955,99.235,,1.72,0.017037,13:15,13:30,14:30,bearish,,,0.005562,0.001002,,,,,price_70_100,51692702.0,adv_50m_100m,,bearish_regime: mean_r +0.027 before slippage (near zero after). context_confidence = low. Consider reduced size or skip.,time_exit,2026-04-02,time_exit,101.38,0.2471,time_exit: exit_price=open of 2026-04-02 14:30 ET bar (flatten_by=14:30 ET),2026-04-01T22:56:54Z,2026-04-09T23:27:24Z
